article_id,author,category,number_of_comments,timestamp,title,article_link
482922,هسبريس من الرباط,economie,18,الثلاثاء 01 شتنبر 2020 - 20:40,الحكومة تُغيث مؤسسات عمومية بقروض أوروبية,https://www.hespress.com/economie/482922.html
482763,هسبريس من الرباط,economie,26,الاثنين 31 غشت 2020 - 14:05,البنك الأوروبي للاستثمار يدعم المغرب ضد الجائحة,https://www.hespress.com/economie/482763.html
482872,هسبريس من الرباط,economie,0,الأربعاء 02 شتنبر 2020 - 01:20,"السكك الحديدية: القطارات تنقل 9,4 ملايين مسافر‎",https://www.hespress.com/economie/482872.html
482786,ايزابيل ماسلانغ* ,economie,8,الثلاثاء 01 شتنبر 2020 - 03:48,"فرنسا تمارس ""دبلوماسية القمح"" في منطقة البحر الأبيض المتوسط",https://www.hespress.com/economie/482786.html
482928,هسبريس - يوسف لخضر,economie,32,الأربعاء 02 شتنبر 2020 - 01:00,"صادرات وواردات المغرب تنخفض .. وتحويلات الجالية تتحدى ""كورونا""",https://www.hespress.com/economie/482928.html
482891,هسبريس – محمد لديب,economie,11,الأربعاء 02 شتنبر 2020 - 04:00,"""كورونا"" يكبد قطاع تصدير ""الملابس الجاهزة"" خسائر بـ500 مليار",https://www.hespress.com/economie/482891.html
482946,هسبريس – محمد لديب,economie,13,الأربعاء 02 شتنبر 2020 - 08:30,تراجع استهلاك المغاربة يؤثر على مداخيل البقالة,https://www.hespress.com/economie/482946.html
482917,هسبريس - عبد السلام الشامخ,economie,48,الأربعاء 02 شتنبر 2020 - 10:00,الشراكة الإستراتيجية المغربية الصينية .. آفاق واعدة وتحالفات متينة‬,https://www.hespress.com/economie/482917.html
476684,هسبريس من الرباط,marocains-du-monde,13,الخميس 02 يوليوز 2020 - 01:15,آخر المغاربة العالقين في اليابان يعودون إلى الوطن‎,https://www.hespress.com/marocains-du-monde/476684.html
476608,هسبريس من واشنطن,marocains-du-monde,44,الأربعاء 01 يوليوز 2020 - 00:00,مغاربة عالقون في أمريكا يتطلعون إلى موعد العودة إلى المملكة,https://www.hespress.com/marocains-du-monde/476608.html
476553,هسبريس من الرباط,marocains-du-monde,86,الثلاثاء 30 يونيو 2020 - 14:00,المغرب يزيد وتيرة الرحلات الجوية الاستثنائية لإعادة العالقين بالخارج‬,https://www.hespress.com/marocains-du-monde/476553.html
476767,هسبريس من الرباط,marocains-du-monde,12,الخميس 02 يوليوز 2020 - 17:31,مغاربة عالقون في تونس يتشبثون بالعودة إلى الوطن,https://www.hespress.com/marocains-du-monde/476767.html
476689,هسبريس من الرباط,marocains-du-monde,62,الخميس 02 يوليوز 2020 - 09:00,استمرار إغلاق الحدود الجوية يعمق معاناة مغاربة عالقين في الجزائر‎,https://www.hespress.com/marocains-du-monde/476689.html
