,article_id,author,writer,category,number_of_comments,timestamp,title,article_link
68,251689,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-02 19:00:38+00:00,بدء محاكمة متهمين بهجمات شارلي إيبدو,https://ar.hibapress.com/details-251689.html
69,251686,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-02 18:55:05+00:00,سلطات جبل طارق تعتقل بارون مخدرات مطلوب دوليا,https://ar.hibapress.com/details-251686.html
70,251647,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-02 16:11:27+00:00,كندا.. قتيل ومصابون بإطلاق للنار في تورونتو,https://ar.hibapress.com/details-251647.html
71,251743,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-02 22:42:09+00:00,عودة التلاميذ لمدارسهم في ووهان الصينية,https://ar.hibapress.com/details-251743.html
72,251710,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,3,2020-09-02 20:50:27+00:00,تضرر طائرة ماكرون باصطدامها بعنبر في مطار بيروت,https://ar.hibapress.com/details-251710.html
73,251750,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-03 08:39:16+00:00,كورونا حول العالم .. أكثر من 26 مليون إصابة و863 ألف وفاة,https://ar.hibapress.com/details-251750.html
74,251787,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-03 12:37:28+00:00,إصابة رئيس الوزراء التركي السابق بن علي يلدريم بفيروس كورونا,https://ar.hibapress.com/details-251787.html
75,251772,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-03 11:26:00+00:00,واشنطن تتنصل من 80 مليون دولار لمنظمة الصحة: لن ندفع,https://ar.hibapress.com/details-251772.html
76,251878,هبة بريس ـ وكالات,ي.الضميري,بلا حدود,2,2020-09-03 19:05:57+00:00,أطباء يقاضون ديدييه راوول بسبب وصفته لعلاج المصابين بفيروس كورونا,https://ar.hibapress.com/details-251878.html
77,251777,هبة بريس – وكالات,ل.أبروك,بلا حدود,5,2020-09-03 11:50:42+00:00,السعودية تدخل موسوعة “غينيس” بأكبر كمامة في العالم,https://ar.hibapress.com/details-251777.html
78,251932,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-03 22:21:15+00:00,البرازيل تتجاوز 4 ملايين إصابة بفيروس كورونا,https://ar.hibapress.com/details-251932.html
79,251917,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-03 21:12:43+00:00,ألمانيا.. العثور على جثث 5 أطفال في شقة، والأم تحاول الانتحار.,https://ar.hibapress.com/details-251917.html
80,251886,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-03 19:39:24+00:00,تفاديا لكارثة بيروت.. الجزائر تنقل مواد متفجرة من ميناء سكيكدة,https://ar.hibapress.com/details-251886.html
81,251967,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-04 09:38:06+00:00,نيوزيلندا تسجل أول وفاة بكورونا منذ أكثر من ثلاثة أشهر,https://ar.hibapress.com/details-251967.html
82,251905,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-03 20:40:12+00:00,وفيات كورونا تتجاوز 185 ألفا بالولايات المتحدة الامريكية,https://ar.hibapress.com/details-251905.html
83,251974,هبة بريس – وكالات,ل.أبروك,بلا حدود,1,2020-09-04 10:21:45+00:00,فرنسا تغلق 22 مدرسة بسبب تسجيل إصابات بكورونا,https://ar.hibapress.com/details-251974.html
84,251954,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-04 08:32:46+00:00,إيطاليا ..  برلسكوني يدخل المستشفى إثر إصابته بكورونا,https://ar.hibapress.com/details-251954.html
85,251992,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-04 12:55:45+00:00,“طرد مشبوه” يثير استنفارا بمقر القنصلية المغربية ببلجيكا,https://ar.hibapress.com/details-251992.html
86,251989,هبة بريس – وكالات,ل.أبروك,بلا حدود,2,2020-09-04 12:29:44+00:00,روسيا .. وزير الدفاع يتلقى لقاح “كورونا”,https://ar.hibapress.com/details-251989.html
87,252120,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-04 21:59:32+00:00,إسبانيا.. إصابات كورونا تقترب من نصف المليون,https://ar.hibapress.com/details-252120.html
88,252054,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-04 17:01:35+00:00,"كورونا حول العالم .. الإصابات تصل إلى 26,3مليون",https://ar.hibapress.com/details-252054.html
89,252085,هبة بريس- وكالات,ismail bouyakoubi,بلا حدود,0,2020-09-04 18:44:35+00:00,خبراء يحذرون: الجوع أخطر على العالم من جائحة كورونا,https://ar.hibapress.com/details-252085.html
90,252154,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-05 10:33:16+00:00,جزائريون عالقون في فرنسا يطالبون سلطات بلادهم بإعادتهم,https://ar.hibapress.com/details-252154.html
91,252023,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-04 15:26:54+00:00,بريطانيا .. تسجيل 1940 إصابة جديدة بكورونا خلال 24 ساعة,https://ar.hibapress.com/details-252023.html
92,252196,هبة بريس – وكالات  ,ل.أبروك,بلا حدود,0,2020-09-05 15:10:43+00:00,كتالونيا .. إطلاق خطة تجريبية لإدخال مادة الديانة الإسلامية في المنهاج الدراسي,https://ar.hibapress.com/details-252196.html
93,252140,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-05 08:42:59+00:00,كورونا يحصد أرواح أكثر من 874 ألف شخص في العالم,https://ar.hibapress.com/details-252140.html
94,252259,هبة بريس ـ وكالات,ي.الضميري,بلا حدود,0,2020-09-05 20:10:51+00:00,في حصيلة ثقيلة.. قرابة تسعة آلاف إصابة جديدة بكورونا في فرنسا,https://ar.hibapress.com/details-252259.html
95,252160,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-05 11:17:39+00:00,انفجار بيروت .. استمرار عمليات البحث عن ناج محتمل تحت الأنقاض,https://ar.hibapress.com/details-252160.html
96,252208,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-05 16:42:18+00:00,بريطانيا تسجل 1813 إصابة و12 وفاة جديدة بكورونا,https://ar.hibapress.com/details-252208.html
