article_id,author,category,number_of_comments,timestamp,title
478524,هسبريس من الرباط,marocains-du-monde,(85),الأحد 19 يوليوز 2020 - 02:21,"تنسيقية ""الأحرار"" تلتئم في لقاء تواصلي بألمانيا"
478336,جمال سماحي من تطوان ,marocains-du-monde,(11),السبت 18 يوليوز 2020 - 09:10,بوادر أمل تتخلل أزمة العاملات الموسميات بإسبانيا
478510,هسبريس من الرباط,marocains-du-monde,(8),الأحد 19 يوليوز 2020 - 06:45,إطلاق برنامج إرجاع عاملات الفراولة من إسبانيا
478073,هسبريس من الرباط,art-et-culture,(1),الأربعاء 15 يوليوز 2020 - 02:50,"الحسيني يصدر فيديو كليب ""يا ربي گاغ أمعاون"""
477998,هسبريس من الرباط,art-et-culture,(0),الثلاثاء 14 يوليوز 2020 - 01:08,"الروائي بيروك يوضح بخصوص جائزة ""أمادو أنداي"""
478579,هسبريس من الرباط,marocains-du-monde,(11),الأحد 19 يوليوز 2020 - 17:35,عودة الفوج الأول من العاملات المغربيات بإسبانيا‎
478236,هسبريس - أمال كنين ,art-et-culture,(8),الخميس 16 يوليوز 2020 - 11:15,"الترميم يُحيي المقهى الموريسكي بـ""قصبة الأوداية‬"""
478563,هسبريس - محمد الراجي,marocains-du-monde,(54),الاثنين 20 يوليوز 2020 - 04:00,"إغلاق ميناء ""سيت"" الفرنسي يؤجل عودة مغاربة عالقين إلى أوروبا"
478230,محمد بنعزيز,art-et-culture,(4),الجمعة 17 يوليوز 2020 - 03:00,"فيلم ""المهاجر"" ليوسف شاهين .. سيرة فتى يرى مصر بنظرة ""برانية"""
478072,عبد الكريم هرواش من النّاظور,art-et-culture,(3),الأربعاء 15 يوليوز 2020 - 06:05,مسرحية جديدة تعزز الإصدارات الأمازيغية بالمغرب
478497,هسبريس من الرباط,art-et-culture,(13),الأحد 19 يوليوز 2020 - 05:55,"ندوة دولية تقارب ""تعليم العربية للناطقين بغيرها"""
478413,هسبريس من الرباط,art-et-culture,(39),السبت 18 يوليوز 2020 - 10:05,"محاضرة فكرية تناقش ""أوهام وحقائق"" اللغة العربية‎"
478458,هسبريس من الرباط,art-et-culture,(28),السبت 18 يوليوز 2020 - 13:00,"اللعبي: لست مناصرا لـ""الفرانكوفونية"" .. والأدب مرآة لوجه المجتمع‎"
478401,إبراهيم مغراوي من مراكش,art-et-culture,(2),الأحد 19 يوليوز 2020 - 08:50,"كتاب يعرض ""كورونا"" على منهج العلوم الإنسانية"
478554,عزيز لعويـــسي,art-et-culture,(2),الأحد 19 يوليوز 2020 - 15:28,"""أرشيف المغرب"" تعلن نشر فهرس ""القسم التاريخي"""
478514,هسبريس من تطوان,art-et-culture,(28),الأحد 19 يوليوز 2020 - 11:10,توقف الأعراس يرمي موسيقيين في ردهات القهر
478536,محمد بنعزيز,art-et-culture,(14),الأحد 19 يوليوز 2020 - 20:00,السيرة في الأفلام المغربية .. كرامات الصالحين تغيّب الرؤية النقدية
478555,محمد بنعزيز,art-et-culture,(13),الثلاثاء 21 يوليوز 2020 - 02:50,"فيلم ""المغسلة"" .. أنوية سردية تعرّي فضيحة ""أوراق بنما"" المسرّبة"
478592,هسبريس من الرباط,art-et-culture,(6),الاثنين 20 يوليوز 2020 - 05:00,"الشاعرة الكويتية سعاد الصباح ترد على كوكاس: ""لم أنزوِ إلى الظل‎"""
478594,هسبريس - أمال كنين ,art-et-culture,(8),الاثنين 20 يوليوز 2020 - 01:30,"""رونو 12"" .. فيلم يسافر بالهوية والاختلاف بين المغرب وفرنسا"
478537,هسبريس من الرباط,art-et-culture,(3),الثلاثاء 21 يوليوز 2020 - 03:55,"كوكاس يصر على مداعبة ""أحلام المغاربة"" غير منتهية الصلاحية"
478605,هسبريس من الرباط,art-et-culture,(0),الاثنين 20 يوليوز 2020 - 05:18,بن يونس ماجن يصدر مجموعة شعرية جديدة
475052,هسبريس - نورالدين إكجان,tamazight,(18),الثلاثاء 16 يونيو 2020 - 15:22,"فعاليات أمازيغية تعول على البرلمان لضم ""تيفيناغ"" بالبطاقة الوطنية‎"
474941,هسبريس من الرباط,tamazight,(147),الاثنين 15 يونيو 2020 - 16:30,"""البطاقة الوطنية"" تعتمد الحالة المدنية .. و""تيفيناغ"" مسألة تقنية"
